States,Date,Req,vaccinated_pct,monthly_new_cases_per_100k, infection_rate,hospital_beds_per_100k,new_deaths_per_100K
AK,2021-Mar-01,0,0,650.6460212,1.08,6.212406313,2.899122946
AK,2021-Apr-01,0,23,695.6514536,1.07,8.283208418,1.794695157
AK,2021-May-01,0,36,280.110498,0.85,8.697368839,3.03717642
AK,2021-Jun-01,0,39,143.8517195,1.17,3.175229894,1.104427789
AK,2021-Jul-01,0,43,577.6157337,1.4,15.60004252,1.656641684
AK,2021-Aug-01,0,46,1793.176569,1.15,24.15935789,7.59294105
AK,2021-Sep-01,0,47,3588.42394,1.16,31.89035241,12.14870568
AK,2021-Oct-01,0,51,3194.55738,0.97,33.82310104,20.4319141
AK,2021-Nov-01,0,53,1798.698708,0.88,26.78237388,20.56996757
AK,2021-Dec-01,0,54,845.7155795,1.49,12.14870568,13.52924042
AK,2022-Jan-01,0,56,7636.289841,1.55,27.61069473,14.21950778
AK,2022-Feb-01,0,58,2983.611672,0.8,25.6779461,9.939850102
AL,2021-Mar-01,0,0,300.9002688,0.89,15.74725593,12.6869784
AL,2021-Apr-01,0,14,195.7564287,1.04,10.1739028,6.951491358
AL,2021-May-01,0,24,144.9274481,1.01,10.57923758,5.066684664
AL,2021-Jun-01,0,29,153.5813455,1.21,7.458159825,4.174948163
AL,2021-Jul-01,0,33,701.7155592,1.44,33.84545355,3.729079912
AL,2021-Aug-01,0,34,2312.880749,1.24,63.15115765,15.13925377
AL,2021-Sep-01,0,38,1960.725898,1,62.82688983,40.85774513
AL,2021-Oct-01,0,43,520.0850473,0.88,28.73823541,25.81982505
AL,2021-Nov-01,0,45,277.9380539,1.06,12.950446,11.06563931
AL,2021-Dec-01,0,46,1030.624461,1.6,20.8139406,6.809624188
AL,2022-Jan-01,0,48,6518.654621,1.48,67.02210473,12.78831209
AL,2022-Feb-01,0,50,1238.439599,0.74,61.67168572,23.08381533
AR,2021-Mar-01,1,0,263.1226792,0.9,16.61202935,12.62382389
AR,2021-Apr-01,1,14,175.5799213,1.03,7.317203404,3.757482829
AR,2021-May-01,1,26,186.4238849,1.02,7.514965659,3.098275315
AR,2021-Jun-01,1,31,263.8148471,1.28,11.53613149,2.570909304
AR,2021-Jul-01,1,34,1221.742246,1.29,36.28937364,7.646807161
AR,2021-Aug-01,1,37,2189.854401,1.12,47.462941,26.13757793
AR,2021-Sep-01,1,42,1423.426785,0.94,44.43058644,24.9510044
AR,2021-Oct-01,1,46,564.8749187,0.97,23.40186674,13.05230878
AR,2021-Nov-01,1,48,514.9399495,1.08,16.31538597,9.591469327
AR,2021-Dec-01,1,49,1240.892224,1.52,23.20410449,15.85394071
AR,2022-Jan-01,1,51,6930.677079,1.5,60.97669504,16.01874259
AR,2022-Feb-01,1,53,1406.32035,0.74,58.50466686,28.44480423
AZ,2021-Mar-01,0,0,326.8439275,1.03,15.15936683,13.17801099
AZ,2021-Apr-01,0,17,257.7890223,1.04,8.590307872,4.906847685
AZ,2021-May-01,0,29,252.0311224,1,8.616903253,4.042497822
AZ,2021-Jun-01,0,36,178.521491,1.09,7.460004205,4.135581654
AZ,2021-Jul-01,0,43,430.313255,1.23,15.83754903,4.135581654
AZ,2021-Aug-01,0,45,1126.154788,1.19,28.57673625,7.194050401
AZ,2021-Sep-01,0,48,1085.889382,0.98,28.62992701,15.93063287
AZ,2021-Oct-01,0,51,1001.542133,1.09,24.81348992,15.79765596
AZ,2021-Nov-01,0,53,1341.470988,1.09,36.48886192,15.41202295
AZ,2021-Dec-01,0,55,1485.458377,1.38,38.62979004,25.57145826
AZ,2022-Jan-01,0,57,6504.64495,1.41,49.78655213,26.28953353
AZ,2022-Feb-01,0,59,1412.826393,0.67,44.7999183,23.15127865
CA,2021-Mar-01,1,0,251.1013104,1,13.32626739,15.17159822
CA,2021-Apr-01,1,16,183.7808143,1.01,6.406907868,6.300883388
CA,2021-May-01,1,31,106.9660785,0.92,4.952857856,3.392783363
CA,2021-Jun-01,1,43,71.76342667,1.18,3.471039527,1.958928489
CA,2021-Jul-01,1,50,332.0005131,1.45,11.57686347,2.059904185
CA,2021-Aug-01,1,53,973.4258981,1.18,22.1717383,4.564101429
CA,2021-Sep-01,1,56,731.7203762,0.93,22.073287,8.620799989
CA,2021-Oct-01,1,59,450.9498822,1.05,12.7936206,7.23490857
CA,2021-Nov-01,1,61,423.5778955,1.09,10.80692379,6.386712729
CA,2021-Dec-01,1,63,1085.832042,1.56,16.12581854,5.147236069
CA,2022-Jan-01,1,66,7311.160366,1.52,40.84971754,8.981788099
CA,2022-Feb-01,1,69,1342.151272,0.73,34.15250455,12.30641287
CO,2021-Mar-01,1,0,553.0713309,1.09,7.618389605,2.239704739
CO,2021-Apr-01,1,18,830.8965233,1.09,12.67469273,2.731761083
CO,2021-May-01,1,33,550.017188,0.95,13.14978161,4.937530902
CO,2021-Jun-01,1,45,250.4227443,0.99,8.653404674,3.817678532
CO,2021-Jul-01,1,52,298.1522097,1.17,7.177235641,2.545119022
CO,2021-Aug-01,1,55,688.6074025,1.15,15.30464905,3.766776152
CO,2021-Sep-01,1,57,946.2752522,1.08,17.59525617,6.990593579
CO,2021-Oct-01,1,59,1199.972716,1.08,22.85516881,10.94401179
CO,2021-Nov-01,1,62,1506.642591,1.08,26.97826163,17.08623237
CO,2021-Dec-01,1,63,1677.980004,1.41,25.80750688,19.02052282
CO,2022-Jan-01,1,66,5604.216346,1.38,30.9486473,15.27071413
CO,2022-Feb-01,1,68,996.9909906,0.81,23.78837912,11.13065385
CT,2021-Mar-01,1,0,870.9135642,1.12,16.77540186,7.430714916
