date,state,actuals.hospitalBeds.currentUsageCovid,actuals.newCases,metrics.infectionRate,metrics.vaccinationsCompletedRatio,actuals.newDeaths,metrics.weeklyNewCasesPer100k
2021-03-01,AK,25.0,383.0,0.99,0.0,10.0,124.8
2021-03-02,AK,27.0,154.0,0.99,0.0,1.0,138.3
2021-03-03,AK,34.0,191.0,0.99,0.0,1.0,140.0
2021-03-04,AK,32.0,148.0,0.99,0.0,0.0,134.9
2021-03-05,AK,36.0,148.0,0.99,0.146,1.0,140.0
2021-03-06,AK,39.0,0.0,0.99,0.15,0.0,138.0
2021-03-07,AK,37.0,0.0,0.99,0.156,0.0,136.1
2021-03-08,AK,35.0,340.0,0.99,0.158,0.0,134.1
2021-03-09,AK,34.0,89.0,0.99,0.16,0.0,125.2
2021-03-10,AK,40.0,152.0,0.99,0.163,0.0,119.9
2021-03-11,AK,40.0,238.0,0.99,0.167,0.0,132.2
2021-03-12,AK,43.0,107.0,0.99,0.17,1.0,126.6
2021-03-13,AK,42.0,0.0,1.0,0.173,0.0,128.3
2021-03-14,AK,39.0,0.0,1.0,0.179,0.0,130.0
2021-03-15,AK,40.0,378.0,1.0,0.181,0.0,131.8
2021-03-16,AK,45.0,103.0,1.01,0.183,0.0,133.7
2021-03-17,AK,38.0,174.0,1.02,0.186,1.0,136.7
2021-03-18,AK,42.0,155.0,1.02,0.189,3.0,125.4
2021-03-19,AK,37.0,77.0,1.03,0.192,0.0,121.3
2021-03-20,AK,41.0,0.0,1.04,0.196,0.0,120.0
2021-03-21,AK,45.0,0.0,1.05,0.2,0.0,118.8
2021-03-22,AK,40.0,351.0,1.06,0.201,0.0,117.6
2021-03-23,AK,37.0,178.0,1.06,0.201,2.0,127.8
2021-03-24,AK,31.0,199.0,1.07,0.203,0.0,131.2
2021-03-25,AK,24.0,147.0,1.08,0.206,1.0,130.1
2021-03-26,AK,31.0,186.0,1.08,0.21,0.0,145.0
2021-03-27,AK,27.0,0.0,1.08,0.214,0.0,151.3
2021-03-28,AK,34.0,0.0,1.08,0.219,0.0,157.5
2021-03-29,AK,32.0,0.0,1.08,0.22,0.0,163.8
2021-03-30,AK,35.0,651.0,1.08,0.221,0.0,161.7
2021-03-31,AK,36.0,164.0,1.08,0.223,0.0,156.9
2021-04-01,AK,45.0,226.0,1.07,0.226,0.0,167.7
2021-04-02,AK,49.0,202.0,1.06,0.229,0.0,169.9
2021-04-03,AK,40.0,0.0,1.05,0.233,0.0,170.4
2021-04-04,AK,36.0,0.0,1.04,0.242,0.0,170.9
2021-04-05,AK,45.0,499.0,1.03,0.245,0.0,171.4
2021-04-06,AK,44.0,80.0,1.02,0.245,0.0,160.1
2021-04-07,AK,43.0,219.0,1.01,0.249,0.0,167.6
2021-04-08,AK,52.0,228.0,1.01,0.255,0.0,167.9
2021-04-09,AK,42.0,246.0,1.0,0.26,0.0,173.9
2021-04-10,AK,49.0,0.0,0.99,0.266,0.0,169.2
2021-04-11,AK,44.0,0.0,0.98,0.272,0.0,164.5
2021-04-12,AK,52.0,396.0,0.98,0.276,1.0,159.8
2021-04-13,AK,47.0,154.0,0.97,0.304,0.0,169.9
2021-04-14,AK,38.0,199.0,0.97,0.308,0.0,167.2
2021-04-15,AK,41.0,193.0,0.97,0.308,0.0,162.4
2021-04-16,AK,44.0,189.0,0.97,0.312,0.0,154.6
2021-04-17,AK,33.0,0.0,0.96,0.316,0.0,156.8
2021-04-18,AK,34.0,0.0,0.96,0.321,0.0,159.1
2021-04-19,AK,44.0,445.0,0.96,0.322,0.0,161.3
2021-04-20,AK,47.0,109.0,0.95,0.324,0.0,155.2
2021-04-21,AK,47.0,198.0,0.95,0.328,0.0,155.0
2021-04-22,AK,42.0,228.0,0.94,0.331,0.0,159.8
2021-04-23,AK,41.0,148.0,0.93,0.335,0.0,154.2
2021-04-24,AK,41.0,0.0,0.92,0.337,0.0,154.4
2021-04-25,AK,41.0,0.0,0.91,0.34,0.0,154.6
2021-04-26,AK,45.0,449.0,0.9,0.34,12.0,154.7
2021-04-27,AK,53.0,137.0,0.89,0.341,0.0,158.6
2021-04-28,AK,51.0,186.0,0.88,0.343,0.0,156.9
2021-04-29,AK,60.0,168.0,0.87,0.349,0.0,148.7
2021-04-30,AK,56.0,140.0,0.86,0.351,0.0,147.6
2021-05-01,AK,63.0,0.0,0.85,0.358,0.0,139.7
2021-05-02,AK,61.0,0.0,0.84,0.36,0.0,131.7
2021-05-03,AK,60.0,274.0,0.83,0.36,1.0,123.7
2021-05-04,AK,55.0,92.0,0.82,0.361,0.0,117.6
2021-05-05,AK,50.0,148.0,0.82,0.362,0.0,112.4
2021-05-06,AK,47.0,96.0,0.81,0.363,1.0,102.5
2021-05-07,AK,44.0,116.0,0.81,0.365,0.0,99.2
2021-05-08,AK,43.0,0.0,0.81,0.367,0.0,97.5
2021-05-09,AK,40.0,0.0,0.8,0.367,0.0,95.7
2021-05-10,AK,42.0,235.0,0.8,0.37,0.0,93.9
2021-05-11,AK,41.0,58.0,0.8,0.371,2.0,89.3
2021-05-12,AK,36.0,88.0,0.8,0.372,2.0,81.1
2021-05-13,AK,36.0,80.0,0.8,0.374,0.0,78.9
2021-05-14,AK,31.0,112.0,0.8,0.375,0.0,78.3
2021-05-15,AK,28.0,0.0,0.8,0.377,0.0,73.8
2021-05-16,AK,25.0,0.0,0.8,0.379,0.0,69.2
2021-05-17,AK,30.0,135.0,0.8,0.379,11.0,64.7
2021-05-18,AK,23.0,56.0,0.8,0.379,4.0,64.4
2021-05-19,AK,23.0,98.0,0.8,0.38,1.0,65.8
2021-05-20,AK,23.0,77.0,0.8,0.382,0.0,65.3
2021-05-21,AK,20.0,66.0,0.8,0.383,0.0,59.1
2021-05-22,AK,19.0,0.0,0.8,0.385,0.0,57.2
2021-05-23,AK,19.0,0.0,0.8,0.386,0.0,55.4
2021-05-24,AK,17.0,95.0,0.8,0.387,0.0,53.6
2021-05-25,AK,23.0,52.0,0.8,0.387,0.0,53.0
2021-05-26,AK,21.0,66.0,0.8,0.388,0.0,48.7
2021-05-27,AK,16.0,41.0,0.81,0.389,0.0,43.7
2021-05-28,AK,21.0,44.0,0.81,0.391,0.0,40.7
2021-05-29,AK,15.0,0.0,0.82,0.392,0.0,40.2
2021-05-30,AK,18.0,0.0,0.82,0.393,0.0,39.6
2021-05-31,AK,21.0,0.0,0.83,0.393,0.0,39.0
2021-06-01,AK,22.0,110.0,0.84,0.394,0.0,35.7
2021-06-02,AK,21.0,36.0,0.85,0.394,0.0,31.6
2021-06-03,AK,20.0,53.0,0.86,0.395,0.0,33.2
2021-06-04,AK,22.0,60.0,0.87,0.397,0.0,35.4
2021-06-05,AK,21.0,0.0,0.88,0.398,0.0,34.0
2021-06-06,AK,23.0,0.0,0.89,0.401,0.0,32.5
2021-06-07,AK,21.0,51.0,0.9,0.402,0.0,31.1
2021-06-08,AK,16.0,0.0,0.91,0.402,0.0,31.9
2021-06-09,AK,15.0,67.0,0.92,0.402,0.0,31.6
2021-06-10,AK,19.0,0.0,0.94,0.405,0.0,28.5
2021-06-11,AK,17.0,61.0,0.95,0.406,4.0,24.5
2021-06-12,AK,20.0,0.0,0.96,0.408,0.0,25.2
2021-06-13,AK,19.0,0.0,0.97,0.409,0.0,25.9
2021-06-14,AK,17.0,67.0,0.99,0.411,0.0,26.7
2021-06-15,AK,20.0,0.0,1.0,0.411,0.0,25.6
2021-06-16,AK,15.0,51.0,1.01,0.413,0.0,24.5
2021-06-17,AK,13.0,0.0,1.02,0.414,0.0,27.3
2021-06-18,AK,12.0,102.0,1.02,0.415,0.0,30.1
2021-06-19,AK,13.0,0.0,1.03,0.416,0.0,31.0
2021-06-20,AK,13.0,0.0,1.04,0.417,0.0,31.9
2021-06-21,AK,14.0,87.0,1.05,0.418,0.0,32.8
2021-06-22,AK,18.0,0.0,1.06,0.418,0.0,34.2
2021-06-23,AK,16.0,71.0,1.06,0.419,1.0,35.5
