state_name,requirements
Alabama,0
Alaska,0
Arizona,0
Arkansas,1
California,1
Colorado,1
Connecticut,1
Delaware,1
Florida,0
Georgia,1
Hawaii,0
Idaho,0
Illinois,0
Indiana,0
Iowa,0
Kansas,1
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,0
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,1
New Jersey,0
New Mexico,1
New York,0
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,1
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Vermont,0
Virginia,1
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
