state_id,date_,infection_rate,requirements
AK,2021-03-01,0.99,f
AK,2021-03-02,0.99,f
AK,2021-03-03,0.99,f
AK,2021-03-04,0.99,f
AK,2021-03-05,0.99,f
AK,2021-03-06,0.99,f
AK,2021-03-07,0.99,f
AK,2021-03-08,0.99,f
AK,2021-03-09,0.99,f
AK,2021-03-10,0.99,f
AK,2021-03-11,0.99,f
AK,2021-03-12,0.99,f
AK,2021-03-13,1,f
AK,2021-03-14,1,f
AK,2021-03-15,1,f
AK,2021-03-16,1.01,f
AK,2021-03-17,1.02,f
AK,2021-03-18,1.02,f
AK,2021-03-19,1.03,f
AK,2021-03-20,1.04,f
AK,2021-03-21,1.05,f
AK,2021-03-22,1.06,f
AK,2021-03-23,1.06,f
AK,2021-03-24,1.07,f
AK,2021-03-25,1.08,f
AK,2021-03-26,1.08,f
AK,2021-03-27,1.08,f
AK,2021-03-28,1.08,f
AK,2021-03-29,1.08,f
AK,2021-03-30,1.08,f
AK,2021-03-31,1.08,f
AK,2021-04-01,1.07,f
AK,2021-04-02,1.06,f
AK,2021-04-03,1.05,f
AK,2021-04-04,1.04,f
AK,2021-04-05,1.03,f
AK,2021-04-06,1.02,f
AK,2021-04-07,1.01,f
AK,2021-04-08,1.01,f
AK,2021-04-09,1,f
AK,2021-04-10,0.99,f
AK,2021-04-11,0.98,f
AK,2021-04-12,0.98,f
AK,2021-04-13,0.97,f
AK,2021-04-14,0.97,f
AK,2021-04-15,0.97,f
AK,2021-04-16,0.97,f
AK,2021-04-17,0.96,f
AK,2021-04-18,0.96,f
AK,2021-04-19,0.96,f
AK,2021-04-20,0.95,f
AK,2021-04-21,0.95,f
AK,2021-04-22,0.94,f
AK,2021-04-23,0.93,f
AK,2021-04-24,0.92,f
AK,2021-04-25,0.91,f
AK,2021-04-26,0.9,f
AK,2021-04-27,0.89,f
AK,2021-04-28,0.88,f
AK,2021-04-29,0.87,f
AK,2021-04-30,0.86,f
AK,2021-05-01,0.85,f
AK,2021-05-02,0.84,f
AK,2021-05-03,0.83,f
AK,2021-05-04,0.82,f
AK,2021-05-05,0.82,f
AK,2021-05-06,0.81,f
AK,2021-05-07,0.81,f
AK,2021-05-08,0.81,f
AK,2021-05-09,0.8,f
AK,2021-05-10,0.8,f
AK,2021-05-11,0.8,f
AK,2021-05-12,0.8,f
AK,2021-05-13,0.8,f
AK,2021-05-14,0.8,f
AK,2021-05-15,0.8,f
AK,2021-05-16,0.8,f
AK,2021-05-17,0.8,f
AK,2021-05-18,0.8,f
AK,2021-05-19,0.8,f
AK,2021-05-20,0.8,f
AK,2021-05-21,0.8,f
AK,2021-05-22,0.8,f
AK,2021-05-23,0.8,f
AK,2021-05-24,0.8,f
AK,2021-05-25,0.8,f
AK,2021-05-26,0.8,f
AK,2021-05-27,0.81,f
AK,2021-05-28,0.81,f
AK,2021-05-29,0.82,f
AK,2021-05-30,0.82,f
AK,2021-05-31,0.83,f
AK,2021-06-01,0.84,f
AK,2021-06-02,0.85,f
AK,2021-06-03,0.86,f
AK,2021-06-04,0.87,f
AK,2021-06-05,0.88,f
AK,2021-06-06,0.89,f
AK,2021-06-07,0.9,f
AK,2021-06-08,0.91,f
AK,2021-06-09,0.92,f
AK,2021-06-10,0.94,f
