state_id,date_,infection_rate,vaccinated_ratio,population
AK,2021-03-01,0.99,0,724357
AK,2021-03-02,0.99,0,724357
AK,2021-03-03,0.99,0,724357
AK,2021-03-04,0.99,0,724357
AK,2021-03-05,0.99,0.146,724357
AK,2021-03-06,0.99,0.15,724357
AK,2021-03-07,0.99,0.156,724357
AK,2021-03-08,0.99,0.158,724357
AK,2021-03-09,0.99,0.16,724357
AK,2021-03-10,0.99,0.163,724357
AK,2021-03-11,0.99,0.167,724357
AK,2021-03-12,0.99,0.17,724357
AK,2021-03-13,1,0.173,724357
AK,2021-03-14,1,0.179,724357
AK,2021-03-15,1,0.181,724357
AK,2021-03-16,1.01,0.183,724357
AK,2021-03-17,1.02,0.186,724357
AK,2021-03-18,1.02,0.189,724357
AK,2021-03-19,1.03,0.192,724357
AK,2021-03-20,1.04,0.196,724357
AK,2021-03-21,1.05,0.2,724357
AK,2021-03-22,1.06,0.201,724357
AK,2021-03-23,1.06,0.201,724357
AK,2021-03-24,1.07,0.203,724357
AK,2021-03-25,1.08,0.206,724357
AK,2021-03-26,1.08,0.21,724357
AK,2021-03-27,1.08,0.214,724357
AK,2021-03-28,1.08,0.219,724357
AK,2021-03-29,1.08,0.22,724357
AK,2021-03-30,1.08,0.221,724357
AK,2021-03-31,1.08,0.223,724357
AK,2021-04-01,1.07,0.226,724357
AK,2021-04-02,1.06,0.229,724357
AK,2021-04-03,1.05,0.233,724357
AK,2021-04-04,1.04,0.242,724357
AK,2021-04-05,1.03,0.245,724357
AK,2021-04-06,1.02,0.245,724357
AK,2021-04-07,1.01,0.249,724357
AK,2021-04-08,1.01,0.255,724357
AK,2021-04-09,1,0.26,724357
AK,2021-04-10,0.99,0.266,724357
AK,2021-04-11,0.98,0.272,724357
AK,2021-04-12,0.98,0.276,724357
AK,2021-04-13,0.97,0.304,724357
AK,2021-04-14,0.97,0.308,724357
AK,2021-04-15,0.97,0.308,724357
AK,2021-04-16,0.97,0.312,724357
AK,2021-04-17,0.96,0.316,724357
AK,2021-04-18,0.96,0.321,724357
AK,2021-04-19,0.96,0.322,724357
AK,2021-04-20,0.95,0.324,724357
AK,2021-04-21,0.95,0.328,724357
AK,2021-04-22,0.94,0.331,724357
AK,2021-04-23,0.93,0.335,724357
AK,2021-04-24,0.92,0.337,724357
AK,2021-04-25,0.91,0.34,724357
AK,2021-04-26,0.9,0.34,724357
AK,2021-04-27,0.89,0.341,724357
AK,2021-04-28,0.88,0.343,724357
AK,2021-04-29,0.87,0.349,724357
AK,2021-04-30,0.86,0.351,724357
AK,2021-05-01,0.85,0.358,724357
AK,2021-05-02,0.84,0.36,724357
AK,2021-05-03,0.83,0.36,724357
AK,2021-05-04,0.82,0.361,724357
AK,2021-05-05,0.82,0.362,724357
AK,2021-05-06,0.81,0.363,724357
AK,2021-05-07,0.81,0.365,724357
AK,2021-05-08,0.81,0.367,724357
AK,2021-05-09,0.8,0.367,724357
AK,2021-05-10,0.8,0.37,724357
AK,2021-05-11,0.8,0.371,724357
AK,2021-05-12,0.8,0.372,724357
AK,2021-05-13,0.8,0.374,724357
AK,2021-05-14,0.8,0.375,724357
AK,2021-05-15,0.8,0.377,724357
AK,2021-05-16,0.8,0.379,724357
AK,2021-05-17,0.8,0.379,724357
AK,2021-05-18,0.8,0.379,724357
AK,2021-05-19,0.8,0.38,724357
AK,2021-05-20,0.8,0.382,724357
AK,2021-05-21,0.8,0.383,724357
AK,2021-05-22,0.8,0.385,724357
AK,2021-05-23,0.8,0.386,724357
AK,2021-05-24,0.8,0.387,724357
AK,2021-05-25,0.8,0.387,724357
AK,2021-05-26,0.8,0.388,724357
AK,2021-05-27,0.81,0.389,724357
AK,2021-05-28,0.81,0.391,724357
AK,2021-05-29,0.82,0.392,724357
AK,2021-05-30,0.82,0.393,724357
AK,2021-05-31,0.83,0.393,724357
AK,2021-06-01,0.84,0.394,724357
AK,2021-06-02,0.85,0.394,724357
AK,2021-06-03,0.86,0.395,724357
AK,2021-06-04,0.87,0.397,724357
AK,2021-06-05,0.88,0.398,724357
AK,2021-06-06,0.89,0.401,724357
AK,2021-06-07,0.9,0.402,724357
AK,2021-06-08,0.91,0.402,724357
AK,2021-06-09,0.92,0.402,724357
AK,2021-06-10,0.94,0.405,724357
AK,2021-06-11,0.95,0.406,724357
AK,2021-06-12,0.96,0.408,724357
AK,2021-06-13,0.97,0.409,724357
AK,2021-06-14,0.99,0.411,724357
AK,2021-06-15,1,0.411,724357
AK,2021-06-16,1.01,0.413,724357
AK,2021-06-17,1.02,0.414,724357
AK,2021-06-18,1.02,0.415,724357
AK,2021-06-19,1.03,0.416,724357
