state_id,date_,new_cases,population
AK,2021-03-01,383,724357
AK,2021-03-02,154,724357
AK,2021-03-03,191,724357
AK,2021-03-04,148,724357
AK,2021-03-05,148,724357
AK,2021-03-06,0,724357
AK,2021-03-07,0,724357
AK,2021-03-08,340,724357
AK,2021-03-09,89,724357
AK,2021-03-10,152,724357
AK,2021-03-11,238,724357
AK,2021-03-12,107,724357
AK,2021-03-13,0,724357
AK,2021-03-14,0,724357
AK,2021-03-15,378,724357
AK,2021-03-16,103,724357
AK,2021-03-17,174,724357
AK,2021-03-18,155,724357
AK,2021-03-19,77,724357
AK,2021-03-20,0,724357
AK,2021-03-21,0,724357
AK,2021-03-22,351,724357
AK,2021-03-23,178,724357
AK,2021-03-24,199,724357
AK,2021-03-25,147,724357
AK,2021-03-26,186,724357
AK,2021-03-27,0,724357
AK,2021-03-28,0,724357
AK,2021-03-29,0,724357
AK,2021-03-30,651,724357
AK,2021-03-31,164,724357
AK,2021-04-01,226,724357
AK,2021-04-02,202,724357
AK,2021-04-03,0,724357
AK,2021-04-04,0,724357
AK,2021-04-05,499,724357
AK,2021-04-06,80,724357
AK,2021-04-07,219,724357
AK,2021-04-08,228,724357
AK,2021-04-09,246,724357
AK,2021-04-10,0,724357
AK,2021-04-11,0,724357
AK,2021-04-12,396,724357
AK,2021-04-13,154,724357
AK,2021-04-14,199,724357
AK,2021-04-15,193,724357
AK,2021-04-16,189,724357
AK,2021-04-17,0,724357
AK,2021-04-18,0,724357
AK,2021-04-19,445,724357
AK,2021-04-20,109,724357
AK,2021-04-21,198,724357
AK,2021-04-22,228,724357
AK,2021-04-23,148,724357
AK,2021-04-24,0,724357
AK,2021-04-25,0,724357
AK,2021-04-26,449,724357
AK,2021-04-27,137,724357
AK,2021-04-28,186,724357
AK,2021-04-29,168,724357
AK,2021-04-30,140,724357
AK,2021-05-01,0,724357
AK,2021-05-02,0,724357
AK,2021-05-03,274,724357
AK,2021-05-04,92,724357
AK,2021-05-05,148,724357
AK,2021-05-06,96,724357
AK,2021-05-07,116,724357
AK,2021-05-08,0,724357
AK,2021-05-09,0,724357
AK,2021-05-10,235,724357
AK,2021-05-11,58,724357
AK,2021-05-12,88,724357
AK,2021-05-13,80,724357
AK,2021-05-14,112,724357
AK,2021-05-15,0,724357
AK,2021-05-16,0,724357
AK,2021-05-17,135,724357
AK,2021-05-18,56,724357
AK,2021-05-19,98,724357
AK,2021-05-20,77,724357
AK,2021-05-21,66,724357
AK,2021-05-22,0,724357
AK,2021-05-23,0,724357
AK,2021-05-24,95,724357
AK,2021-05-25,52,724357
AK,2021-05-26,66,724357
AK,2021-05-27,41,724357
AK,2021-05-28,44,724357
AK,2021-05-29,0,724357
AK,2021-05-30,0,724357
AK,2021-05-31,0,724357
AK,2021-06-01,110,724357
AK,2021-06-02,36,724357
AK,2021-06-03,53,724357
AK,2021-06-04,60,724357
AK,2021-06-05,0,724357
AK,2021-06-06,0,724357
AK,2021-06-07,51,724357
AK,2021-06-08,0,724357
AK,2021-06-09,67,724357
AK,2021-06-10,0,724357
AK,2021-06-11,61,724357
AK,2021-06-12,0,724357
AK,2021-06-13,0,724357
AK,2021-06-14,67,724357
AK,2021-06-15,0,724357
AK,2021-06-16,51,724357
AK,2021-06-17,0,724357
AK,2021-06-18,102,724357
AK,2021-06-19,0,724357
AK,2021-06-20,0,724357
AK,2021-06-21,87,724357
AK,2021-06-22,0,724357
AK,2021-06-23,71,724357
AK,2021-06-24,0,724357
AK,2021-06-25,42,724357
AK,2021-06-26,0,724357
AK,2021-06-27,0,724357
AK,2021-06-28,96,724357
AK,2021-06-29,0,724357
AK,2021-06-30,88,724357
AK,2021-07-01,0,724357
AK,2021-07-02,105,724357
AK,2021-07-03,0,724357
AK,2021-07-04,0,724357
AK,2021-07-05,0,724357
AK,2021-07-06,0,724357
AK,2021-07-07,212,724357
AK,2021-07-08,0,724357
AK,2021-07-09,132,724357
AK,2021-07-10,0,724357
AK,2021-07-11,0,724357
AK,2021-07-12,173,724357
AK,2021-07-13,0,724357
AK,2021-07-14,248,724357
AK,2021-07-15,0,724357
AK,2021-07-16,287,724357
AK,2021-07-17,0,724357
AK,2021-07-18,0,724357
AK,2021-07-19,455,724357
AK,2021-07-20,0,724357
AK,2021-07-21,473,724357
AK,2021-07-22,0,724357
AK,2021-07-23,439,724357
AK,2021-07-24,0,724357
AK,2021-07-25,0,724357
AK,2021-07-26,564,724357
AK,2021-07-27,0,724357
AK,2021-07-28,526,724357
AK,2021-07-29,0,724357
AK,2021-07-30,570,724357
AK,2021-07-31,0,724357
AK,2021-08-01,0,724357
AK,2021-08-02,746,724357
AK,2021-08-03,293,724357
AK,2021-08-04,338,724357
AK,2021-08-05,377,724357
AK,2021-08-06,332,724357
AK,2021-08-07,0,724357
AK,2021-08-08,0,724357
AK,2021-08-09,847,724357
AK,2021-08-10,254,724357
AK,2021-08-11,375,724357
AK,2021-08-12,402,724357
AK,2021-08-13,334,724357
AK,2021-08-14,0,724357
AK,2021-08-15,0,724357
AK,2021-08-16,1056,724357
AK,2021-08-17,449,724357
AK,2021-08-18,661,724357
AK,2021-08-19,683,724357
AK,2021-08-20,469,724357
AK,2021-08-21,0,724357
AK,2021-08-22,0,724357
AK,2021-08-23,1112,724357
AK,2021-08-24,593,724357
AK,2021-08-25,620,724357
AK,2021-08-26,727,724357
AK,2021-08-27,534,724357
AK,2021-08-28,0,724357
AK,2021-08-29,0,724357
AK,2021-08-30,1148,724357
AK,2021-08-31,639,724357
AK,2021-09-01,791,724357
AK,2021-09-02,712,724357
AK,2021-09-03,582,724357
AK,2021-09-04,0,724357
AK,2021-09-05,0,724357
AK,2021-09-06,0,724357
AK,2021-09-07,2127,724357
AK,2021-09-08,837,724357
AK,2021-09-09,838,724357
AK,2021-09-10,693,724357
AK,2021-09-11,0,724357
AK,2021-09-12,0,724357
AK,2021-09-13,1456,724357
AK,2021-09-14,689,724357
AK,2021-09-15,1089,724357
AK,2021-09-16,1052,724357
AK,2021-09-17,882,724357
AK,2021-09-18,0,724357
AK,2021-09-19,0,724357
AK,2021-09-20,2108,724357
AK,2021-09-21,853,724357
AK,2021-09-22,1244,724357
AK,2021-09-23,1315,724357
AK,2021-09-24,1778,724357
AK,2021-09-25,0,724357
AK,2021-09-26,0,724357
AK,2021-09-27,3999,724357
AK,2021-09-28,685,724357
AK,2021-09-29,996,724357
AK,2021-09-30,1267,724357
AK,2021-10-01,1032,724357
AK,2021-10-02,0,724357
AK,2021-10-03,0,724357
AK,2021-10-04,2232,724357
AK,2021-10-05,854,724357
AK,2021-10-06,856,724357
AK,2021-10-07,853,724357
AK,2021-10-08,834,724357
AK,2021-10-09,0,724357
AK,2021-10-10,0,724357
AK,2021-10-11,2770,724357
AK,2021-10-12,450,724357
AK,2021-10-13,1226,724357
AK,2021-10-14,967,724357
AK,2021-10-15,984,724357
AK,2021-10-16,0,724357
AK,2021-10-17,0,724357
AK,2021-10-18,0,724357
AK,2021-10-19,2820,724357
AK,2021-10-20,814,724357
AK,2021-10-21,1020,724357
AK,2021-10-22,846,724357
AK,2021-10-23,0,724357
AK,2021-10-24,0,724357
AK,2021-10-25,1666,724357
AK,2021-10-26,743,724357
AK,2021-10-27,560,724357
AK,2021-10-28,809,724357
AK,2021-10-29,804,724357
AK,2021-10-30,0,724357
AK,2021-10-31,0,724357
AK,2021-11-01,1528,724357
AK,2021-11-02,493,724357
AK,2021-11-03,672,724357
AK,2021-11-04,651,724357
AK,2021-11-05,863,724357
AK,2021-11-06,0,724357
AK,2021-11-07,0,724357
AK,2021-11-08,1339,724357
AK,2021-11-09,372,724357
AK,2021-11-10,452,724357
AK,2021-11-11,0,724357
AK,2021-11-12,867,724357
AK,2021-11-13,0,724357
AK,2021-11-14,0,724357
AK,2021-11-15,1080,724357
AK,2021-11-16,349,724357
AK,2021-11-17,439,724357
AK,2021-11-18,520,724357
AK,2021-11-19,520,724357
AK,2021-11-20,0,724357
AK,2021-11-21,0,724357
AK,2021-11-22,740,724357
AK,2021-11-23,144,724357
AK,2021-11-24,487,724357
AK,2021-11-25,0,724357
AK,2021-11-26,625,724357
AK,2021-11-27,0,724357
AK,2021-11-28,0,724357
AK,2021-11-29,720,724357
AK,2021-11-30,168,724357
AK,2021-12-01,324,724357
AK,2021-12-02,344,724357
AK,2021-12-03,317,724357
AK,2021-12-04,0,724357
AK,2021-12-05,0,724357
AK,2021-12-06,550,724357
AK,2021-12-07,0,724357
AK,2021-12-08,440,724357
AK,2021-12-09,0,724357
AK,2021-12-10,443,724357
AK,2021-12-11,0,724357
AK,2021-12-12,0,724357
AK,2021-12-13,404,724357
AK,2021-12-14,0,724357
AK,2021-12-15,396,724357
AK,2021-12-16,0,724357
AK,2021-12-17,407,724357
AK,2021-12-18,0,724357
AK,2021-12-19,0,724357
AK,2021-12-20,418,724357
AK,2021-12-21,0,724357
AK,2021-12-22,222,724357
AK,2021-12-23,0,724357
AK,2021-12-24,0,724357
AK,2021-12-25,0,724357
AK,2021-12-26,0,724357
AK,2021-12-27,876,724357
AK,2021-12-28,0,724357
AK,2021-12-29,985,724357
AK,2021-12-30,0,724357
AK,2021-12-31,0,724357
AK,2022-01-01,0,724357
AK,2022-01-02,0,724357
AK,2022-01-03,2889,724357
AK,2022-01-04,0,724357
