state_id,date_,new_cases,vaccinated_ratio,population
AK,2021-03-01,383,0,724357
AK,2021-03-02,154,0,724357
AK,2021-03-03,191,0,724357
AK,2021-03-04,148,0,724357
AK,2021-03-05,148,0.146,724357
AK,2021-03-06,0,0.15,724357
AK,2021-03-07,0,0.156,724357
AK,2021-03-08,340,0.158,724357
AK,2021-03-09,89,0.16,724357
AK,2021-03-10,152,0.163,724357
AK,2021-03-11,238,0.167,724357
AK,2021-03-12,107,0.17,724357
AK,2021-03-13,0,0.173,724357
AK,2021-03-14,0,0.179,724357
AK,2021-03-15,378,0.181,724357
AK,2021-03-16,103,0.183,724357
AK,2021-03-17,174,0.186,724357
AK,2021-03-18,155,0.189,724357
AK,2021-03-19,77,0.192,724357
AK,2021-03-20,0,0.196,724357
AK,2021-03-21,0,0.2,724357
AK,2021-03-22,351,0.201,724357
AK,2021-03-23,178,0.201,724357
AK,2021-03-24,199,0.203,724357
AK,2021-03-25,147,0.206,724357
AK,2021-03-26,186,0.21,724357
AK,2021-03-27,0,0.214,724357
AK,2021-03-28,0,0.219,724357
AK,2021-03-29,0,0.22,724357
AK,2021-03-30,651,0.221,724357
AK,2021-03-31,164,0.223,724357
AK,2021-04-01,226,0.226,724357
AK,2021-04-02,202,0.229,724357
AK,2021-04-03,0,0.233,724357
AK,2021-04-04,0,0.242,724357
AK,2021-04-05,499,0.245,724357
AK,2021-04-06,80,0.245,724357
AK,2021-04-07,219,0.249,724357
AK,2021-04-08,228,0.255,724357
AK,2021-04-09,246,0.26,724357
AK,2021-04-10,0,0.266,724357
AK,2021-04-11,0,0.272,724357
AK,2021-04-12,396,0.276,724357
AK,2021-04-13,154,0.304,724357
AK,2021-04-14,199,0.308,724357
AK,2021-04-15,193,0.308,724357
AK,2021-04-16,189,0.312,724357
AK,2021-04-17,0,0.316,724357
AK,2021-04-18,0,0.321,724357
AK,2021-04-19,445,0.322,724357
AK,2021-04-20,109,0.324,724357
AK,2021-04-21,198,0.328,724357
AK,2021-04-22,228,0.331,724357
AK,2021-04-23,148,0.335,724357
AK,2021-04-24,0,0.337,724357
AK,2021-04-25,0,0.34,724357
AK,2021-04-26,449,0.34,724357
AK,2021-04-27,137,0.341,724357
AK,2021-04-28,186,0.343,724357
AK,2021-04-29,168,0.349,724357
AK,2021-04-30,140,0.351,724357
AK,2021-05-01,0,0.358,724357
AK,2021-05-02,0,0.36,724357
AK,2021-05-03,274,0.36,724357
AK,2021-05-04,92,0.361,724357
AK,2021-05-05,148,0.362,724357
AK,2021-05-06,96,0.363,724357
AK,2021-05-07,116,0.365,724357
AK,2021-05-08,0,0.367,724357
AK,2021-05-09,0,0.367,724357
AK,2021-05-10,235,0.37,724357
AK,2021-05-11,58,0.371,724357
AK,2021-05-12,88,0.372,724357
AK,2021-05-13,80,0.374,724357
AK,2021-05-14,112,0.375,724357
AK,2021-05-15,0,0.377,724357
AK,2021-05-16,0,0.379,724357
AK,2021-05-17,135,0.379,724357
AK,2021-05-18,56,0.379,724357
AK,2021-05-19,98,0.38,724357
AK,2021-05-20,77,0.382,724357
AK,2021-05-21,66,0.383,724357
AK,2021-05-22,0,0.385,724357
AK,2021-05-23,0,0.386,724357
AK,2021-05-24,95,0.387,724357
AK,2021-05-25,52,0.387,724357
AK,2021-05-26,66,0.388,724357
AK,2021-05-27,41,0.389,724357
AK,2021-05-28,44,0.391,724357
AK,2021-05-29,0,0.392,724357
AK,2021-05-30,0,0.393,724357
AK,2021-05-31,0,0.393,724357
AK,2021-06-01,110,0.394,724357
AK,2021-06-02,36,0.394,724357
AK,2021-06-03,53,0.395,724357
AK,2021-06-04,60,0.397,724357
AK,2021-06-05,0,0.398,724357
AK,2021-06-06,0,0.401,724357
AK,2021-06-07,51,0.402,724357
AK,2021-06-08,0,0.402,724357
AK,2021-06-09,67,0.402,724357
AK,2021-06-10,0,0.405,724357
AK,2021-06-11,61,0.406,724357
AK,2021-06-12,0,0.408,724357
AK,2021-06-13,0,0.409,724357
AK,2021-06-14,67,0.411,724357
AK,2021-06-15,0,0.411,724357
AK,2021-06-16,51,0.413,724357
AK,2021-06-17,0,0.414,724357
AK,2021-06-18,102,0.415,724357
AK,2021-06-19,0,0.416,724357
AK,2021-06-20,0,0.417,724357
AK,2021-06-21,87,0.418,724357
AK,2021-06-22,0,0.418,724357
AK,2021-06-23,71,0.419,724357
AK,2021-06-24,0,0.42,724357
AK,2021-06-25,42,0.421,724357
AK,2021-06-26,0,0.424,724357
AK,2021-06-27,0,0.426,724357
AK,2021-06-28,96,0.427,724357
AK,2021-06-29,0,0.428,724357
AK,2021-06-30,88,0.429,724357
AK,2021-07-01,0,0.43,724357
AK,2021-07-02,105,0.435,724357
AK,2021-07-03,0,0.436,724357
AK,2021-07-04,0,0.438,724357
AK,2021-07-05,0,0.44,724357
AK,2021-07-06,0,0.442,724357
AK,2021-07-07,212,0.442,724357
AK,2021-07-08,0,0.443,724357
AK,2021-07-09,132,0.443,724357
AK,2021-07-10,0,0.444,724357
AK,2021-07-11,0,0.445,724357
AK,2021-07-12,173,0.446,724357
AK,2021-07-13,0,0.446,724357
AK,2021-07-14,248,0.447,724357
AK,2021-07-15,0,0.447,724357
AK,2021-07-16,287,0.448,724357
AK,2021-07-17,0,0.449,724357
AK,2021-07-18,0,0.45,724357
AK,2021-07-19,455,0.45,724357
AK,2021-07-20,0,0.45,724357
AK,2021-07-21,473,0.451,724357
AK,2021-07-22,0,0.451,724357
AK,2021-07-23,439,0.452,724357
AK,2021-07-24,0,0.452,724357
AK,2021-07-25,0,0.452,724357
AK,2021-07-26,564,0.453,724357
AK,2021-07-27,0,0.453,724357
AK,2021-07-28,526,0.454,724357
AK,2021-07-29,0,0.454,724357
AK,2021-07-30,570,0.455,724357
AK,2021-07-31,0,0.455,724357
AK,2021-08-01,0,0.455,724357
AK,2021-08-02,746,0.455,724357
AK,2021-08-03,293,0.456,724357
AK,2021-08-04,338,0.457,724357
AK,2021-08-05,377,0.458,724357
AK,2021-08-06,332,0.458,724357
AK,2021-08-07,0,0.459,724357
AK,2021-08-08,0,0.459,724357
AK,2021-08-09,847,0.459,724357
AK,2021-08-10,254,0.459,724357
AK,2021-08-11,375,0.46,724357
AK,2021-08-12,402,0.46,724357
AK,2021-08-13,334,0.461,724357
AK,2021-08-14,0,0.462,724357
AK,2021-08-15,0,0.462,724357
AK,2021-08-16,1056,0.463,724357
AK,2021-08-17,449,0.463,724357
AK,2021-08-18,661,0.464,724357
AK,2021-08-19,683,0.465,724357
AK,2021-08-20,469,0.465,724357
AK,2021-08-21,0,0.466,724357
AK,2021-08-22,0,0.466,724357
AK,2021-08-23,1112,0.466,724357
AK,2021-08-24,593,0.468,724357
AK,2021-08-25,620,0.468,724357
AK,2021-08-26,727,0.469,724357
AK,2021-08-27,534,0.47,724357
AK,2021-08-28,0,0.471,724357
AK,2021-08-29,0,0.471,724357
AK,2021-08-30,1148,0.472,724357
AK,2021-08-31,639,0.472,724357
AK,2021-09-01,791,0.473,724357
AK,2021-09-02,712,0.474,724357
AK,2021-09-03,582,0.474,724357
AK,2021-09-04,0,0.475,724357
AK,2021-09-05,0,0.476,724357
AK,2021-09-06,0,0.476,724357
AK,2021-09-07,2127,0.48,724357
AK,2021-09-08,837,0.48,724357
AK,2021-09-09,838,0.481,724357
AK,2021-09-10,693,0.482,724357
AK,2021-09-11,0,0.483,724357
AK,2021-09-12,0,0.483,724357
AK,2021-09-13,1456,0.484,724357
AK,2021-09-14,689,0.485,724357
AK,2021-09-15,1089,0.485,724357
