state_id,date,new_cases,vaccinated_ratio,hospital_beds,new_deaths,infection_rate,population,requirements
AK,2021-03-01,383,0,25,10,0.99,724357,f
AK,2021-03-02,154,0,27,1,0.99,724357,f
AK,2021-03-03,191,0,34,1,0.99,724357,f
AK,2021-03-04,148,0,32,0,0.99,724357,f
AK,2021-03-05,148,0.146,36,1,0.99,724357,f
AK,2021-03-06,0,0.15,39,0,0.99,724357,f
AK,2021-03-07,0,0.156,37,0,0.99,724357,f
AK,2021-03-08,340,0.158,35,0,0.99,724357,f
AK,2021-03-09,89,0.16,34,0,0.99,724357,f
AK,2021-03-10,152,0.163,40,0,0.99,724357,f
AK,2021-03-11,238,0.167,40,0,0.99,724357,f
AK,2021-03-12,107,0.17,43,1,0.99,724357,f
AK,2021-03-13,0,0.173,42,0,1,724357,f
AK,2021-03-14,0,0.179,39,0,1,724357,f
AK,2021-03-15,378,0.181,40,0,1,724357,f
AK,2021-03-16,103,0.183,45,0,1.01,724357,f
AK,2021-03-17,174,0.186,38,1,1.02,724357,f
AK,2021-03-18,155,0.189,42,3,1.02,724357,f
AK,2021-03-19,77,0.192,37,0,1.03,724357,f
AK,2021-03-20,0,0.196,41,0,1.04,724357,f
AK,2021-03-21,0,0.2,45,0,1.05,724357,f
AK,2021-03-22,351,0.201,40,0,1.06,724357,f
AK,2021-03-23,178,0.201,37,2,1.06,724357,f
AK,2021-03-24,199,0.203,31,0,1.07,724357,f
AK,2021-03-25,147,0.206,24,1,1.08,724357,f
AK,2021-03-26,186,0.21,31,0,1.08,724357,f
AK,2021-03-27,0,0.214,27,0,1.08,724357,f
AK,2021-03-28,0,0.219,34,0,1.08,724357,f
AK,2021-03-29,0,0.22,32,0,1.08,724357,f
AK,2021-03-30,651,0.221,35,0,1.08,724357,f
AK,2021-03-31,164,0.223,36,0,1.08,724357,f
AK,2021-04-01,226,0.226,45,0,1.07,724357,f
AK,2021-04-02,202,0.229,49,0,1.06,724357,f
AK,2021-04-03,0,0.233,40,0,1.05,724357,f
AK,2021-04-04,0,0.242,36,0,1.04,724357,f
AK,2021-04-05,499,0.245,45,0,1.03,724357,f
AK,2021-04-06,80,0.245,44,0,1.02,724357,f
AK,2021-04-07,219,0.249,43,0,1.01,724357,f
AK,2021-04-08,228,0.255,52,0,1.01,724357,f
AK,2021-04-09,246,0.26,42,0,1,724357,f
AK,2021-04-10,0,0.266,49,0,0.99,724357,f
AK,2021-04-11,0,0.272,44,0,0.98,724357,f
AK,2021-04-12,396,0.276,52,1,0.98,724357,f
AK,2021-04-13,154,0.304,47,0,0.97,724357,f
AK,2021-04-14,199,0.308,38,0,0.97,724357,f
AK,2021-04-15,193,0.308,41,0,0.97,724357,f
AK,2021-04-16,189,0.312,44,0,0.97,724357,f
AK,2021-04-17,0,0.316,33,0,0.96,724357,f
AK,2021-04-18,0,0.321,34,0,0.96,724357,f
AK,2021-04-19,445,0.322,44,0,0.96,724357,f
AK,2021-04-20,109,0.324,47,0,0.95,724357,f
AK,2021-04-21,198,0.328,47,0,0.95,724357,f
AK,2021-04-22,228,0.331,42,0,0.94,724357,f
AK,2021-04-23,148,0.335,41,0,0.93,724357,f
AK,2021-04-24,0,0.337,41,0,0.92,724357,f
AK,2021-04-25,0,0.34,41,0,0.91,724357,f
AK,2021-04-26,449,0.34,45,12,0.9,724357,f
AK,2021-04-27,137,0.341,53,0,0.89,724357,f
AK,2021-04-28,186,0.343,51,0,0.88,724357,f
AK,2021-04-29,168,0.349,60,0,0.87,724357,f
AK,2021-04-30,140,0.351,56,0,0.86,724357,f
AK,2021-05-01,0,0.358,63,0,0.85,724357,f
AK,2021-05-02,0,0.36,61,0,0.84,724357,f
AK,2021-05-03,274,0.36,60,1,0.83,724357,f
AK,2021-05-04,92,0.361,55,0,0.82,724357,f
AK,2021-05-05,148,0.362,50,0,0.82,724357,f
AK,2021-05-06,96,0.363,47,1,0.81,724357,f
AK,2021-05-07,116,0.365,44,0,0.81,724357,f
AK,2021-05-08,0,0.367,43,0,0.81,724357,f
AK,2021-05-09,0,0.367,40,0,0.8,724357,f
AK,2021-05-10,235,0.37,42,0,0.8,724357,f
AK,2021-05-11,58,0.371,41,2,0.8,724357,f
AK,2021-05-12,88,0.372,36,2,0.8,724357,f
AK,2021-05-13,80,0.374,36,0,0.8,724357,f
AK,2021-05-14,112,0.375,31,0,0.8,724357,f
AK,2021-05-15,0,0.377,28,0,0.8,724357,f
AK,2021-05-16,0,0.379,25,0,0.8,724357,f
AK,2021-05-17,135,0.379,30,11,0.8,724357,f
AK,2021-05-18,56,0.379,23,4,0.8,724357,f
AK,2021-05-19,98,0.38,23,1,0.8,724357,f
AK,2021-05-20,77,0.382,23,0,0.8,724357,f
AK,2021-05-21,66,0.383,20,0,0.8,724357,f
AK,2021-05-22,0,0.385,19,0,0.8,724357,f
AK,2021-05-23,0,0.386,19,0,0.8,724357,f
AK,2021-05-24,95,0.387,17,0,0.8,724357,f
AK,2021-05-25,52,0.387,23,0,0.8,724357,f
AK,2021-05-26,66,0.388,21,0,0.8,724357,f
AK,2021-05-27,41,0.389,16,0,0.81,724357,f
AK,2021-05-28,44,0.391,21,0,0.81,724357,f
AK,2021-05-29,0,0.392,15,0,0.82,724357,f
AK,2021-05-30,0,0.393,18,0,0.82,724357,f
AK,2021-05-31,0,0.393,21,0,0.83,724357,f
AK,2021-06-01,110,0.394,22,0,0.84,724357,f
AK,2021-06-02,36,0.394,21,0,0.85,724357,f
AK,2021-06-03,53,0.395,20,0,0.86,724357,f
AK,2021-06-04,60,0.397,22,0,0.87,724357,f
AK,2021-06-05,0,0.398,21,0,0.88,724357,f
AK,2021-06-06,0,0.401,23,0,0.89,724357,f
AK,2021-06-07,51,0.402,21,0,0.9,724357,f
